"","Date","Deaths per day","Cumulative deaths","Deaths in the last 7 days","7-day average of daily deaths","14-day average of daily deaths"
"1",2020-01-01,0,0,0,NA,NA
"2",2020-01-02,0,0,0,NA,NA
"3",2020-01-03,0,0,0,NA,NA
"4",2020-01-04,0,0,0,NA,NA
"5",2020-01-05,0,0,0,NA,NA
"6",2020-01-06,0,0,0,NA,NA
"7",2020-01-07,0,0,0,0,NA
"8",2020-01-08,0,0,0,0,NA
"9",2020-01-09,0,0,0,0,NA
"10",2020-01-10,0,0,0,0,NA
"11",2020-01-11,0,0,0,0,NA
"12",2020-01-12,0,0,0,0,NA
"13",2020-01-13,0,0,0,0,NA
"14",2020-01-14,0,0,0,0,0
"15",2020-01-15,0,0,0,0,0
"16",2020-01-16,0,0,0,0,0
"17",2020-01-17,0,0,0,0,0
"18",2020-01-18,0,0,0,0,0
"19",2020-01-19,0,0,0,0,0
"20",2020-01-20,0,0,0,0,0
"21",2020-01-21,0,0,0,0,0
"22",2020-01-22,0,0,0,0,0
"23",2020-01-23,0,0,0,0,0
"24",2020-01-24,0,0,0,0,0
"25",2020-01-25,0,0,0,0,0
"26",2020-01-26,0,0,0,0,0
"27",2020-01-27,0,0,0,0,0
"28",2020-01-28,0,0,0,0,0
"29",2020-01-29,0,0,0,0,0
"30",2020-01-30,0,0,0,0,0
"31",2020-01-31,0,0,0,0,0
"32",2020-02-01,0,0,0,0,0
"33",2020-02-02,0,0,0,0,0
"34",2020-02-03,0,0,0,0,0
"35",2020-02-04,0,0,0,0,0
"36",2020-02-05,0,0,0,0,0
"37",2020-02-06,0,0,0,0,0
"38",2020-02-07,0,0,0,0,0
"39",2020-02-08,0,0,0,0,0
"40",2020-02-09,0,0,0,0,0
"41",2020-02-10,0,0,0,0,0
"42",2020-02-11,0,0,0,0,0
"43",2020-02-12,0,0,0,0,0
"44",2020-02-13,0,0,0,0,0
"45",2020-02-14,0,0,0,0,0
"46",2020-02-15,0,0,0,0,0
"47",2020-02-16,0,0,0,0,0
"48",2020-02-17,0,0,0,0,0
"49",2020-02-18,0,0,0,0,0
"50",2020-02-19,0,0,0,0,0
"51",2020-02-20,0,0,0,0,0
"52",2020-02-21,0,0,0,0,0
"53",2020-02-22,0,0,0,0,0
"54",2020-02-23,0,0,0,0,0
"55",2020-02-24,0,0,0,0,0
"56",2020-02-25,0,0,0,0,0
"57",2020-02-26,0,0,0,0,0
"58",2020-02-27,0,0,0,0,0
"59",2020-02-28,0,0,0,0,0
"60",2020-02-29,0,0,0,0,0
"61",2020-03-01,0,0,0,0,0
"62",2020-03-02,0,0,0,0,0
"63",2020-03-03,0,0,0,0,0
"64",2020-03-04,0,0,0,0,0
"65",2020-03-05,0,0,0,0,0
"66",2020-03-06,0,0,0,0,0
"67",2020-03-07,0,0,0,0,0
"68",2020-03-08,0,0,0,0,0
"69",2020-03-09,0,0,0,0,0
"70",2020-03-10,0,0,0,0,0
"71",2020-03-11,0,0,0,0,0
"72",2020-03-12,0,0,0,0,0
"73",2020-03-13,0,0,0,0,0
"74",2020-03-14,0,0,0,0,0
"75",2020-03-15,0,0,0,0,0
"76",2020-03-16,0,0,0,0,0
"77",2020-03-17,0,0,0,0,0
"78",2020-03-18,1,1,1,0,0
"79",2020-03-19,3,4,4,1,0
"80",2020-03-20,1,5,5,1,0
"81",2020-03-21,2,7,7,1,0
"82",2020-03-22,3,10,10,1,1
"83",2020-03-23,2,12,12,2,1
"84",2020-03-24,5,17,17,2,1
"85",2020-03-25,14,31,30,4,2
"86",2020-03-26,7,38,34,5,3
"87",2020-03-27,1,39,34,5,3
"88",2020-03-28,5,44,37,5,3
"89",2020-03-29,9,53,43,6,4
"90",2020-03-30,9,62,50,7,4
"91",2020-03-31,6,68,51,7,5
"92",2020-04-01,11,79,48,7,6
"93",2020-04-02,16,95,57,8,6
"94",2020-04-03,20,115,76,11,8
"95",2020-04-04,12,127,83,12,9
"96",2020-04-05,7,134,81,12,9
"97",2020-04-06,6,140,78,11,9
"98",2020-04-07,16,156,88,13,10
"99",2020-04-08,26,182,103,15,11
"100",2020-04-09,28,210,115,16,12
"101",2020-04-10,8,218,103,15,13
"102",2020-04-11,25,243,116,17,14
"103",2020-04-12,19,262,128,18,15
"104",2020-04-13,14,276,136,19,15
"105",2020-04-14,15,291,135,19,16
"106",2020-04-15,21,312,130,19,17
"107",2020-04-16,16,328,118,17,17
"108",2020-04-17,11,339,121,17,16
"109",2020-04-18,21,360,117,17,17
"110",2020-04-19,19,379,117,17,18
"111",2020-04-20,18,397,121,17,18
"112",2020-04-21,26,423,132,19,19
"113",2020-04-22,31,454,142,20,19
"114",2020-04-23,16,470,142,20,19
"115",2020-04-24,24,494,155,22,20
"116",2020-04-25,30,524,164,23,20
"117",2020-04-26,9,533,154,22,19
"118",2020-04-27,12,545,148,21,19
"119",2020-04-28,8,553,130,19,19
"120",2020-04-29,15,568,114,16,18
"121",2020-04-30,11,579,109,16,18
"122",2020-05-01,15,594,100,14,18
"123",2020-05-02,11,605,81,12,18
"124",2020-05-03,18,623,90,13,17
"125",2020-05-04,8,631,86,12,17
"126",2020-05-05,17,648,95,14,16
"127",2020-05-06,17,665,97,14,15
"128",2020-05-07,18,683,104,15,15
"129",2020-05-08,21,704,110,16,15
"130",2020-05-09,21,725,120,17,14
"131",2020-05-10,25,750,127,18,16
"132",2020-05-11,14,764,133,19,16
"133",2020-05-12,19,783,135,19,16
"134",2020-05-13,15,798,133,19,16
"135",2020-05-14,15,813,130,19,17
"136",2020-05-15,15,828,124,18,17
"137",2020-05-16,11,839,114,16,17
"138",2020-05-17,13,852,102,15,16
"139",2020-05-18,10,862,98,14,16
"140",2020-05-19,27,889,106,15,17
"141",2020-05-20,23,912,114,16,18
"142",2020-05-21,11,923,110,16,17
"143",2020-05-22,19,942,114,16,17
"144",2020-05-23,14,956,117,17,16
"145",2020-05-24,9,965,113,16,15
"146",2020-05-25,13,978,116,17,15
"147",2020-05-26,17,995,106,15,15
"148",2020-05-27,14,1009,97,14,15
"149",2020-05-28,12,1021,98,14,15
"150",2020-05-29,15,1036,94,13,15
"151",2020-05-30,9,1045,89,13,15
"152",2020-05-31,11,1056,91,13,15
"153",2020-06-01,10,1066,88,13,15
"154",2020-06-02,9,1075,80,11,13
"155",2020-06-03,6,1081,72,10,12
"156",2020-06-04,14,1095,74,11,12
"157",2020-06-05,14,1109,73,10,12
"158",2020-06-06,11,1120,75,11,12
"159",2020-06-07,12,1132,76,11,12
"160",2020-06-08,9,1141,75,11,12
"161",2020-06-09,16,1157,82,12,12
"162",2020-06-10,25,1182,101,14,12
"163",2020-06-11,10,1192,97,14,12
"164",2020-06-12,27,1219,110,16,13
"165",2020-06-13,32,1251,131,19,15
"166",2020-06-14,19,1270,138,20,15
"167",2020-06-15,13,1283,142,20,16
"168",2020-06-16,13,1296,139,20,16
"169",2020-06-17,29,1325,143,20,17
"170",2020-06-18,20,1345,153,22,18
"171",2020-06-19,9,1354,135,19,18
"172",2020-06-20,13,1367,116,17,18
"173",2020-06-21,5,1372,102,15,17
"174",2020-06-22,18,1390,107,15,18
"175",2020-06-23,25,1415,119,17,18
"176",2020-06-24,25,1440,115,16,18
"177",2020-06-25,19,1459,114,16,19
"178",2020-06-26,20,1479,125,18,19
"179",2020-06-27,7,1486,119,17,17
"180",2020-06-28,32,1518,146,21,18
"181",2020-06-29,15,1533,143,20,18
"182",2020-06-30,30,1563,148,21,19
"183",2020-07-01,28,1591,151,22,19
"184",2020-07-02,31,1622,163,23,20
"185",2020-07-03,24,1646,167,24,21
"186",2020-07-04,15,1661,175,25,21
"187",2020-07-05,14,1675,157,22,22
"188",2020-07-06,28,1703,170,24,22
"189",2020-07-07,26,1729,166,24,22
"190",2020-07-08,43,1772,181,26,24
"191",2020-07-09,42,1814,192,27,25
"192",2020-07-10,25,1839,193,28,26
"193",2020-07-11,38,1877,216,31,28
"194",2020-07-12,50,1927,252,36,29
"195",2020-07-13,26,1953,250,36,30
"196",2020-07-14,50,2003,274,39,31
"197",2020-07-15,41,2044,272,39,32
"198",2020-07-16,50,2094,280,40,34
"199",2020-07-17,47,2141,302,43,35
"200",2020-07-18,37,2178,301,43,37
"201",2020-07-19,39,2217,290,41,39
"202",2020-07-20,43,2260,307,44,40
"203",2020-07-21,33,2293,290,41,40
"204",2020-07-22,43,2336,292,42,40
"205",2020-07-23,55,2391,297,42,41
"206",2020-07-24,48,2439,298,43,43
"207",2020-07-25,44,2483,305,44,43
"208",2020-07-26,33,2516,299,43,42
"209",2020-07-27,45,2561,301,43,43
"210",2020-07-28,59,2620,327,47,44
"211",2020-07-29,39,2659,323,46,44
"212",2020-07-30,38,2697,306,44,43
"213",2020-07-31,32,2729,290,41,42
"214",2020-08-01,36,2765,282,40,42
"215",2020-08-02,33,2798,282,40,42
"216",2020-08-03,36,2834,273,39,41
"217",2020-08-04,32,2866,246,35,41
"218",2020-08-05,37,2903,244,35,40
"219",2020-08-06,25,2928,231,33,38
"220",2020-08-07,29,2957,228,33,37
"221",2020-08-08,23,2980,215,31,36
"222",2020-08-09,21,3001,203,29,35
"223",2020-08-10,40,3041,207,30,34
"224",2020-08-11,41,3082,216,31,33
"225",2020-08-12,20,3102,199,28,32
"226",2020-08-13,8,3110,182,26,30
